_lerpT,_lerp1,_lerp2,_hoverPositionY
0.04469201,2.12,1.92,2.111062
0.05902071,2.12,1.92,2.108196
0.06961547,2.12,1.92,2.106077
0.08090182,2.12,1.92,2.10382
0.09267642,2.12,1.92,2.101465
0.1054064,2.12,1.92,2.098919
0.1187441,2.12,1.92,2.096251
0.1325035,2.12,1.92,2.093499
0.1470294,2.12,1.92,2.090594
0.1622209,2.12,1.92,2.087556
0.1859942,2.12,1.92,2.082801
0.2021519,2.12,1.92,2.07957
0.2189364,2.12,1.92,2.076213
0.2360881,2.12,1.92,2.072782
0.2535399,2.12,1.92,2.069292
0.2716695,2.12,1.92,2.065666
0.2899424,2.12,1.92,2.062011
0.3087595,2.12,1.92,2.058248
0.3282689,2.12,1.92,2.054346
0.3563103,2.12,1.92,2.048738
0.3762157,2.12,1.92,2.044757
0.3957042,2.12,1.92,2.040859
0.4157035,2.12,1.92,2.036859
0.4355997,2.12,1.92,2.03288
0.455272,2.12,1.92,2.028945
0.4755641,2.12,1.92,2.024887
0.4956836,2.12,1.92,2.020863
0.5158536,2.12,1.92,2.016829
0.5460353,2.12,1.92,2.010793
0.5658091,2.12,1.92,2.006838
0.5858625,2.12,1.92,2.002827
0.6057928,2.12,1.92,1.998841
0.6257426,2.12,1.92,1.994851
0.6449745,2.12,1.92,1.991005
0.6644709,2.12,1.92,1.987106
0.6833701,2.12,1.92,1.983326
0.7024988,2.12,1.92,1.9795
0.7296518,2.12,1.92,1.97407
0.7477362,2.12,1.92,1.970453
0.7652498,2.12,1.92,1.96695
0.7822933,2.12,1.92,1.963541
0.7990737,2.12,1.92,1.960185
0.8154318,2.12,1.92,1.956914
0.831255,2.12,1.92,1.953749
0.8465344,2.12,1.92,1.950693
0.8613915,2.12,1.92,1.947722
0.8823624,2.12,1.92,1.943527
0.8955597,2.12,1.92,1.940888
0.90805,2.12,1.92,1.93839
0.920169,2.12,1.92,1.935966
0.9312059,2.12,1.92,1.933759
0.9417245,2.12,1.92,1.931655
0.9515005,2.12,1.92,1.9297
0.96051,2.12,1.92,1.927898
0.968522,2.12,1.92,1.926296
0.9789586,2.12,1.92,1.924208
0.9849247,2.12,1.92,1.923015
0.9898651,2.12,1.92,1.922027
0.9938387,2.12,1.92,1.921232
0.9969138,2.12,1.92,1.920617
0.9989488,2.12,1.92,1.92021
0.9999112,2.12,1.92,1.920018
0.9999112,1.92,2.12,1.820018
0,1.92,2.12,1.92
0.000565098,1.92,2.12,1.920113
0.003327236,1.92,2.12,1.920665
0.006400712,1.92,2.12,1.92128
0.01053289,1.92,2.12,1.922107
0.01562739,1.92,2.12,1.923125
0.02161154,1.92,2.12,1.924322
0.02838887,1.92,2.12,1.925678
0.03606255,1.92,2.12,1.927212
0.04476584,1.92,2.12,1.928953
0.05411737,1.92,2.12,1.930823
0.06964388,1.92,2.12,1.933929
0.08092324,1.92,2.12,1.936185
0.09306967,1.92,2.12,1.938614
0.1057172,1.92,2.12,1.941143
0.1187659,1.92,2.12,1.943753
0.1327015,1.92,2.12,1.94654
0.1472734,1.92,2.12,1.949455
0.1622762,1.92,2.12,1.952455
0.1780175,1.92,2.12,1.955603
0.2022755,1.92,2.12,1.960455
0.2191317,1.92,2.12,1.963826
0.2362179,1.92,2.12,1.967244
